year,year_id,id
19,19,1
22,22,2
24,24,3
1636,1636,4
1638,1638,5
1639,1639,6
1640,1640,7
1641,1641,8
1642,1642,9
1643,1643,10
1644,1644,11
1646,1646,12
1647,1647,13
1649,1649,14
1650,1650,15
1651,1651,16
1652,1652,17
1653,1653,18
1654,1654,19
1655,1655,20
1656,1656,21
1657,1657,22
1658,1658,23
1659,1659,24
1660,1660,25
1661,1661,26
1662,1662,27
1663,1663,28
1664,1664,29
1665,1665,30
1666,1666,31
1667,1667,32
1668,1668,33
1669,1669,34
1670,1670,35
1671,1671,36
1672,1672,37
1673,1673,38
1674,1674,39
1675,1675,40
1676,1676,41
1677,1677,42
1678,1678,43
1679,1679,44
1680,1680,45
1681,1681,46
1682,1682,47
1683,1683,48
1684,1684,49
1685,1685,50
1686,1686,51
1687,1687,52
1688,1688,53
1689,1689,54
1690,1690,55
1691,1691,56
1692,1692,57
1693,1693,58
1694,1694,59
1695,1695,60
1696,1696,61
1697,1697,62
1698,1698,63
1699,1699,64
1700,1700,65
1701,1701,66
1702,1702,67
1703,1703,68
1704,1704,69
1705,1705,70
1706,1706,71
1707,1707,72
1708,1708,73
1709,1709,74
1710,1710,75
1711,1711,76
1712,1712,77
1713,1713,78
1714,1714,79
1715,1715,80
1716,1716,81
1717,1717,82
1718,1718,83
1719,1719,84
1720,1720,85
1721,1721,86
1722,1722,87
1723,1723,88
1724,1724,89
1725,1725,90
1726,1726,91
1727,1727,92
1728,1728,93
1729,1729,94
1730,1730,95
1731,1731,96
1732,1732,97
1733,1733,98
1734,1734,99
1735,1735,100
1736,1736,101
1737,1737,102
1738,1738,103
1739,1739,104
1740,1740,105
1741,1741,106
1742,1742,107
1743,1743,108
1744,1744,109
1745,1745,110
1746,1746,111
1747,1747,112
1748,1748,113
1749,1749,114
1750,1750,115
1751,1751,116
1752,1752,117
